account_length,number_vmail_messages,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,number_customer_service_calls,churn
104,0,27.91,13.21,7.6,2.89,1,0
165,0,25.59,16.41,14.02,2.78,1,0
104,0,39.81,24.91,8.28,2.65,0,1
110,0,9.4,14,9.03,2.75,1,0
90,0,37.71,17.32,9.71,2.27,1,0
114,0,28.83,5.01,8.07,2,1,0
101,0,15.25,22.11,7.65,3.65,5,1
117,14,13.63,18.62,5.52,2.32,1,0
109,0,37.21,25.49,7.14,3.05,2,0
82,0,21.37,17.65,8.24,3.48,1,0
92,0,29.97,7.94,9.32,2.59,2,0
82,29,35.22,21.6,7.62,2.57,2,0
90,0,34.97,13.76,12.14,3.38,2,0
87,28,25.74,12.95,11.25,0,1,0
124,0,26.78,11.11,8.7,2.59,3,0
39,0,27.27,8.72,10.59,2.46,2,0
84,0,27.03,14.27,7.54,3.32,1,0
75,46,36.4,17.08,11.11,2.48,0,0
102,0,17.44,20.91,7.67,2.46,2,0
62,0,27.15,16.79,5.47,3.75,0,1
143,0,34.48,14.09,6.48,1.24,1,0
53,0,9.78,22.57,10.99,3.13,3,0
30,0,28.88,19.14,7.64,3.08,1,0
112,0,57.04,18.06,11.93,3.43,2,1
129,0,23.72,24.59,5.82,3.54,0,0
63,29,24.19,10.09,10.8,1.78,1,0
28,0,31.93,21.13,9.4,2.86,0,0
111,0,24.85,22.23,7.34,2.35,3,0
91,0,39.41,12.8,12.11,3.13,3,0
90,0,32.93,13.11,13.46,3.43,1,0
151,0,26.59,19.84,8.81,2.08,4,0
105,29,37.52,18.5,8.57,3.56,1,1
41,37,40.77,18.86,8.51,1.97,2,0
48,43,29.24,17.02,10.49,2.16,1,0
166,35,21.79,23.33,13.45,2.38,2,0
79,0,22.13,24.73,8.77,3.78,3,0
153,0,33.22,13.14,6.43,3.13,1,0
110,0,49.86,16.02,12.01,3.92,0,1
163,0,32.52,16.48,12.08,3.46,1,0
126,0,20.81,12.22,7.07,3.11,1,0
105,33,35.63,12.49,5.44,2.86,2,0
172,0,36.67,12.44,11.91,1.92,3,0
126,0,27.44,18.75,11.21,1.38,0,0
97,0,24.51,19.27,6.51,3.73,3,0
95,37,37.43,15.75,9.23,1.11,0,1
87,0,43.55,13.66,11.22,2,4,0
97,0,19.16,18.5,6.84,1.76,1,0
76,0,50.92,19.27,9.48,3.7,0,1
140,0,33.12,14.53,10.13,3.75,0,0
169,0,17.14,19.55,8.71,2.57,0,0
68,22,14.03,24.64,8.1,1.3,3,0
122,34,24.89,7.62,9.9,4.21,2,0
36,0,30.24,19.09,13.78,2.92,2,0
120,27,26.1,16.49,11.54,2.75,5,0
121,0,25.62,16.77,7.61,2.48,1,0
64,19,30.62,10.84,10.68,2.03,0,0
13,31,45.1,12.55,11.67,3.48,1,0
106,0,21.86,11.39,9.48,3.08,0,0
88,0,27.46,14.75,9.28,2.13,2,0
74,0,28.1,16.87,9.38,2.65,1,0
83,0,33.15,17.89,8.13,2.97,0,0
49,0,36.35,22.53,10.79,4.21,0,0
111,24,34.94,18.64,9.72,3.78,1,0
50,22,42.99,15.12,7.13,2.3,3,0
153,28,40.05,19.37,7.66,4.16,0,0
88,0,32.64,10.85,7,2.03,1,0
131,39,11.75,8.61,4.72,2.46,0,0
79,0,44.49,17.9,11.55,1.62,3,1
140,0,40.04,21.86,4.64,3.11,2,0
105,0,36.28,17.42,8.09,2.57,1,0
54,39,35.17,10.86,8.96,2.48,3,0
87,22,44.85,8.79,9.36,2.3,3,0
96,31,31.18,16.62,8.1,2.84,1,0
79,0,26.79,16.5,10.42,2.54,5,1
55,0,29.85,13.75,13.03,2.51,0,0
130,0,41.23,8.74,6.41,2.51,2,0
34,0,25.67,11.17,8.4,2.67,0,0
139,0,23.48,13.98,6.07,2.24,1,0
109,0,45,25.93,8.88,2.57,1,1
65,31,47.99,12.92,10.15,3.24,1,0
63,0,35.9,20.2,11.66,3.32,0,0
152,0,33.51,11.06,3.51,2,3,0
147,0,34.9,14.17,10.83,2.11,1,0
112,22,30.91,19.39,11.82,2.48,2,0
120,0,42.84,12.77,6.83,2.59,2,0
27,0,32.95,10.11,6.12,2.48,0,0
171,0,39.3,16.04,9.31,3.32,1,0
101,33,34.02,16.06,9.23,4.19,0,0
32,26,45.34,19.75,9.58,4.4,1,0
3,36,20.08,18.83,4.68,3.21,2,0
151,0,29.8,12.27,7.21,3.19,0,0
60,0,21.27,21.15,9.51,3.02,3,0
119,0,30.06,19.1,9.21,2.03,1,0
43,0,41.12,11,11.92,1.59,1,0
42,0,41,9.9,6.85,2.86,0,0
84,0,36.91,20.06,5.32,2.54,1,0
65,0,33.22,15.4,8.03,2.4,0,0
75,0,37.81,27.8,9.36,2.35,1,1
116,0,32.22,16.13,9.26,3.54,1,0
107,0,20.93,13.46,11.52,2.51,0,0
189,38,43.64,12.79,5.54,3.08,3,0
123,0,27.05,20.54,9.11,1.76,1,0
110,0,17.02,19.83,9.2,3,3,0
63,32,5.25,15.9,10.39,2.32,1,0
176,0,37.94,18.22,6.95,2.73,3,0
108,0,31.86,16.99,9.72,3.4,1,0
13,21,53.65,17.76,11.7,3.27,3,0
71,0,47.18,11.2,5.71,2.21,1,0
88,0,32.27,16.77,10.55,4.02,2,0
137,0,25.02,16.39,7.77,2.75,1,0
82,0,31.59,23.5,8.64,1.54,4,0
92,29,26.42,16.02,11.47,2.16,3,0
165,0,26.21,22.83,8.5,2.94,6,0
96,0,16.59,8.97,9.91,3.13,1,0
156,0,30.4,15.16,7.61,2.03,1,0
63,0,25.38,23.26,9.3,2.46,0,0
37,0,35.02,15.81,13.82,2.27,0,0
98,0,36.86,16.22,8.44,2.97,0,0
121,0,17.56,10.97,7.52,2.89,0,0
94,0,23.7,13.52,5.77,2.08,0,0
99,0,32.5,13.93,10.96,3.81,1,0
163,23,27.2,16.1,10.35,2.81,1,0
161,0,37.69,16.41,8.73,1.76,3,0
99,0,10.69,19.64,7.6,2.3,1,0
108,0,36.65,16.6,8.75,0.97,1,0
84,42,28.1,19,11.74,2.05,3,0
83,32,16.1,13.12,9.02,2.86,2,0
139,0,34.54,12.96,8.9,2.62,2,0
69,0,33.2,18.42,11.7,3.38,3,0
129,0,24.43,25.31,9.57,3.08,4,0
106,0,19.45,6.66,10.47,0,2,0
158,0,37.88,17.26,9.48,1.86,2,0
168,22,29.9,17.99,7.85,1.97,2,0
115,0,42.48,20.61,6.83,4.13,1,1
57,30,39.87,16.59,12.1,3.08,2,0
67,0,35.82,18.63,8.09,1.94,1,0
127,0,30.99,14.44,8.28,2.51,1,0
78,0,32.35,16.53,11.54,3.16,2,0
100,38,30.11,13.91,10.92,2,0,0
103,36,14.82,14.39,7.5,2.94,6,1
113,0,36.65,16.44,4.74,3.65,1,0
78,0,23.36,20.2,9.3,3.78,3,0
129,36,32.78,15.05,9.74,4.43,1,0
57,0,25.38,17.02,10.43,3.21,2,0
82,0,24.43,14.51,12.95,2.11,1,0
64,0,38.22,16.15,9.96,2.48,1,0
86,39,44.4,18.21,6.97,3.43,2,0
151,26,33.41,14.94,9.98,3.62,0,0
94,0,46.1,17.22,9.97,3.11,3,1
90,0,35.22,24.86,10.18,2.16,2,0
48,0,51.07,11.32,8.88,1.94,2,0
85,37,39.03,11.25,9.54,2.57,2,0
93,20,31.88,14.43,7.89,3.27,1,0
169,0,9.71,16.97,12.36,1.76,3,0
68,0,27.56,13.18,8.54,2.97,5,1
91,0,24.65,14.94,10.07,4.51,2,1
68,0,27.12,20.47,9.46,3.08,1,0
101,0,32.42,17.73,9.17,2.38,1,0
67,20,39.2,16.07,7.3,2.54,1,0
66,0,5.78,23.68,5.83,3.11,0,0
116,17,32.88,20.45,11.16,3.08,5,0
158,0,34.34,13.9,8.79,2.81,1,0
78,0,32.59,20.52,9.16,2.46,1,0
119,26,27.42,21.28,6.41,1.78,1,0
120,0,25.6,10.12,10.48,1.73,1,0
155,0,31.38,16.66,10.19,2.11,1,0
106,0,37.52,22.97,5.47,2.35,1,0
87,0,28.44,16.87,5.99,2.97,1,0
146,32,26.18,15.77,6.67,2.21,3,0
101,29,20.59,15.84,10.88,2.73,0,0
22,23,30.96,13.99,5.8,3.43,3,0
90,0,18.63,11.7,7.19,2.97,2,0
41,0,35.68,10.36,11.42,2.59,1,0
69,0,28.48,20.58,4.55,3.08,2,0
33,0,36.36,20.38,6.69,2.65,2,0
112,0,19.69,20.68,8.31,3.54,1,0
108,30,47.02,18.71,8.01,2.65,2,0
136,21,30.5,15.39,14.43,2.57,2,0
128,0,31.84,23.02,9.29,2.73,1,0
27,0,34.2,19.31,6.56,2.27,2,0
161,0,32.23,22.73,8.3,0.35,1,0
33,35,31.76,22.19,14.3,4.05,0,0
120,31,26.1,18.62,10.68,3.08,0,0
113,0,31.89,17.7,7.15,2.35,2,0
122,0,39.25,20.67,8.21,2.97,0,1
148,26,41.63,10.03,10.62,4.1,2,0
74,0,39.25,18.96,7.1,2.62,3,0
106,0,31.81,21.27,6.52,2.97,1,0
179,0,29.02,16.24,9.66,3.59,1,0
149,28,21.57,14.19,6.53,2.38,5,1
77,0,32.22,17.6,9.63,2.48,0,0
127,0,30.07,14.27,8.2,2.08,1,1
80,0,27.39,16.9,10.28,2.86,1,0
106,0,28.8,16.76,9.1,2.89,1,0
61,20,43.25,13.74,11.31,2.84,0,0
135,24,21.71,18.28,10.54,1.57,2,0
115,26,28.99,18.46,10.16,3.67,6,0
167,0,37.25,20.65,7.6,2.73,2,0
107,0,46.5,15.62,6.92,2.97,2,0
112,0,27.52,17.08,6.03,2.89,1,0
35,27,41.09,12.07,13,2.54,1,0
103,0,10.68,14.48,12.61,2.54,3,0
107,22,47.79,12.21,10.77,3.02,1,0
69,0,38.79,22.41,6.42,2.89,3,0
85,0,35.67,16.53,9.02,3.05,0,0
24,0,45.15,17.75,8.21,3,2,1
90,0,36.53,10.01,6.02,3.19,2,0
137,0,18.79,18.97,7.63,2.84,3,0
92,45,47.79,16.83,4.24,2.03,0,0
38,0,23.43,24.34,7.52,3.81,2,0
69,33,46.16,21.54,7.44,2.21,1,1
45,0,19.18,18.6,10.81,2.43,2,0
73,0,31.84,20.37,7.54,4.08,1,0
92,0,33.49,22.89,7.15,2.92,1,0
113,32,30.67,11,7.51,2.27,1,0
68,0,25.25,18.65,8.93,3.92,1,1
135,22,33.51,22.05,6.06,3.94,2,0
100,26,26.13,11.71,9.61,4.29,1,0
96,27,44.42,18.78,8.07,3.05,1,0
108,0,41.85,17.2,8.1,2.54,1,0
84,0,32.47,27.1,11.13,1.76,0,0
134,0,35.41,21.56,13.1,3.4,1,0
72,0,43.01,18.64,9.49,2.65,0,0
83,0,34.39,17.13,4.58,1.84,0,0
137,0,29.65,13.29,6.14,2.75,0,0
56,30,21.61,14.63,8.76,3.27,1,0
61,16,24.4,20.62,6.65,3.05,0,0
171,17,31.77,20.4,9.04,1.57,1,0
123,0,32.98,20.57,6.58,3.27,1,0
58,0,39.92,9.08,8.03,2.67,0,0
156,0,21.03,8.76,8.52,3.54,1,0
166,0,29.56,23.49,8.59,4.13,0,0
75,41,22.25,17.29,7.73,3.35,1,0
75,0,53.48,14.43,12.83,1.54,2,1
83,0,38.74,17.64,9.53,3.27,1,0
243,0,16.24,13.91,11.89,1.78,2,0
153,0,31.5,17.68,9.27,4.08,1,0
150,0,24.87,17.23,10.56,3.54,1,0
92,16,31.28,6.49,8.33,3.43,2,0
80,0,17.99,3.73,8.53,3.54,0,0
134,0,30.26,13.07,10.65,3.16,1,0
77,24,25.4,10.53,7.84,2.73,1,0
147,0,35.6,11.26,6.72,3.05,2,0
74,0,29.26,17.99,8.2,3.13,1,0
138,0,28.78,18.52,8.29,2.54,1,0
143,0,20.25,24.45,10.04,3.29,0,0
64,0,33.01,14.74,12.09,1.49,2,0
120,0,33.8,19.56,5.39,2.67,2,0
121,0,28.51,7.96,10.86,3.62,3,1
88,0,34.37,18.43,10.77,3.19,2,0
87,0,54.83,17.39,8.38,2.54,2,1
100,0,36.75,18.33,6.23,2.75,0,0
104,0,12.99,9.83,10.18,2.54,3,0
27,0,12.36,17.73,2.96,2.67,1,0
81,31,35.77,19.17,7.59,2.62,0,0
64,33,21.62,13.85,11.13,2.19,0,0
107,28,34.31,25.92,10.15,3.21,1,0
88,17,37.32,18.88,8.47,4.35,1,0
111,0,16.88,22.99,10.14,2.43,3,0
77,0,40.66,12.75,7.24,2.78,5,0
67,0,20.55,19.98,4.28,3.08,2,0
102,0,38.2,11,7.54,4.27,1,0
146,19,30.02,13.83,9.7,3.94,1,0
144,51,48.26,16.32,8.83,2.7,1,0
96,0,30.7,16.23,13.3,2.78,1,1
70,31,21.4,16.69,11.37,2.78,1,0
149,0,40.39,16.35,9.33,2.46,0,0
129,0,33.73,22.5,5.01,2.48,2,0
166,0,46.63,4.5,11.07,2.94,0,0
136,0,33.93,17.97,3.26,2.97,3,1
149,0,37.01,23.25,10.21,2.59,3,0
70,0,22.9,20.05,11.71,2.05,3,0
120,24,36.16,21.89,10.25,2.62,2,0
66,0,43.57,15.32,8.43,1.67,2,0
104,0,31.21,10.26,9.68,3.43,1,0
160,0,29.95,16.66,11.88,2.48,1,0
129,37,34.85,14.06,8.32,3.16,1,0
93,0,45.54,18.96,11.82,3.05,3,1
169,0,30.46,14.89,10.29,2.67,2,0
58,0,25.4,16.7,9.43,4.02,1,0
75,38,27.81,12.47,15.56,3.54,3,0
45,0,35.29,12.98,9.8,3.35,1,0
155,0,28.12,15.61,3.61,2.4,3,0
52,0,35.67,14.56,6.96,2.67,4,0
119,27,37.42,22.8,6.59,3,0,0
86,0,24.02,13.12,9.48,2.21,1,0
42,0,33.41,20.51,6.44,1.08,0,0
127,0,30.75,17.81,11.25,2,2,0
123,0,17.85,21.39,11.61,4.02,0,0
98,0,46.14,16.18,12.81,3,4,1
149,43,35.14,14.84,10.87,2.94,1,0
160,0,28.36,20.06,13.84,2.51,1,0
103,0,34.83,11.49,9.37,2.81,5,0
132,15,26.28,20.88,6.69,2.46,1,0
137,0,21.59,27.47,6.48,2.03,1,0
129,0,45.46,17.36,5.03,1.59,1,0
62,0,47.77,13.65,3.51,0,1,0
122,33,46.04,18.73,7.65,3.19,4,0
32,0,29.1,15.78,9.15,2.75,1,0
86,0,21.1,17.22,13.03,1.81,3,0
130,0,27.68,24.68,5.17,1.94,1,0
42,0,24.87,21.75,2.03,2.16,1,0
73,0,43.32,12.19,6.93,4.05,2,0
66,26,43.33,20.67,8.59,1.46,2,0
103,31,18.31,16.06,8.83,2.4,0,0
128,0,27,22.51,12.15,2.05,1,0
104,0,31.09,20.37,10.34,1.49,2,0
103,0,33.75,3.61,8.06,3.35,0,0
124,0,30.33,19.86,8.07,3.24,0,0
87,0,18.85,13.47,9.34,1.67,1,0
109,27,28.37,18.8,8.88,3.32,1,1
167,0,41.62,5.17,7.95,2.89,2,0
97,0,20.54,14.43,8.73,3.21,4,1
106,0,28.1,17.85,8.42,2.3,2,0
125,0,21.54,13.22,9.28,3.89,2,0
108,35,36.7,17.05,8.79,4.19,0,0
125,0,23.82,17.82,11.88,2.16,1,0
89,32,35.68,21.23,10.09,2.35,1,0
72,29,23.77,11.75,9.95,1.49,0,0
23,0,54.67,21.39,6.35,3.05,2,1
149,0,28.32,18.6,9.37,2.21,7,0
73,0,36.41,16.73,7.11,1.59,0,0
61,0,44.2,17.89,10.56,2.43,1,1
161,0,32.62,6.03,9.22,3.62,4,1
73,0,36.21,16.05,6.13,3.65,0,0
118,24,20.08,9.32,11.05,4.56,1,0
23,0,32.33,14.14,9.89,4.05,6,0
127,25,13.97,13.88,11.92,1.38,0,0
42,32,27.85,15.11,8.57,2.19,0,0
118,0,45.53,26.89,9.39,3.89,5,1
45,0,27.17,10.23,7.34,2.86,2,0
50,24,36.43,24.63,14.06,2.86,1,0
179,0,48.84,24.48,11.97,2.84,0,1
152,0,17.2,12.04,8.93,2.03,2,0
105,0,17.48,23.94,10.26,3.56,2,0
72,0,18.55,9.83,13.31,2.24,0,0
52,0,36.7,18.45,15.43,1.4,1,0
125,0,34.58,10.94,8.57,2.97,1,0
143,0,18.72,14.37,7.5,2.48,1,0
65,0,18.87,18.68,9.09,1.19,1,0
80,0,40.78,12.1,16.39,2.51,1,0
1,0,24.62,9.56,9.84,3.73,1,0
60,0,23.02,17.5,9.18,2.13,1,0
43,0,14.31,6.87,8.82,2.92,1,0
143,0,35.55,9.02,8.08,3.78,0,0
81,24,22.12,16.66,6.27,3.08,0,0
205,24,29.89,13.18,8.13,2.11,2,0
24,0,41.12,12.34,9.65,1.78,1,0
74,0,23.24,19.43,11.94,2.65,0,0
77,0,11.51,16.63,10.64,3.24,1,0
74,0,34.07,26.28,6.84,2.7,1,0
74,0,21.39,17.65,9.33,3.81,1,1
200,0,21.79,11.32,7.99,3.02,1,0
86,0,38.47,18.96,11.5,3.51,4,0
91,37,27.59,19.88,12.48,2.48,0,0
76,0,38.15,12.57,8.27,1.81,2,0
130,0,20.49,16.12,12.15,3.86,1,0
56,0,15.49,15.24,13.53,3.21,2,0
117,0,28.7,20.52,9.22,4.19,0,0
63,0,26.1,24.42,10.36,1.76,2,0
126,0,38.45,11.93,9.4,1.73,0,0
132,0,32.62,17.59,12.24,3.4,1,0
81,28,28.54,16.21,8.69,2.48,4,1
122,0,30.6,12.33,10.52,3.11,2,0
46,0,43.76,22.19,9.2,3.62,2,1
150,28,29.65,14.44,9.07,2.97,1,0
99,0,27.15,13.21,11.51,2.27,1,0
87,0,40.32,18.92,7.8,2.97,1,0
108,0,17.51,20.6,7.66,2.13,1,0
101,0,26.15,19.89,8.83,3.13,4,0
53,0,34.87,13.64,6.73,2.89,3,0
132,39,29.87,15.91,10.15,2.32,2,0
158,0,26.5,19.06,9.95,2.32,2,0
114,34,26.25,18.82,9.38,2.78,0,0
77,23,35.65,15.61,9.25,1.92,2,0
144,0,25.5,24.3,8.58,2.54,0,0
91,23,39.51,15.81,8.57,3.32,3,0
58,0,28.12,9.83,8.72,3.46,2,0
5,0,33.86,15.92,9.63,3.59,3,0
97,0,36.99,27.24,6.78,1.13,0,0
107,0,36.06,12.76,9.89,2.08,3,0
142,30,26.18,14.09,12.15,2.92,1,0
9,31,32.95,17.22,8.6,3.59,1,0
73,0,29.82,21.09,5.51,3.29,0,0
48,22,25.84,22,11.84,4.24,2,1
43,0,39.13,15.87,5.78,2.48,0,0
122,33,29.73,21.1,7.41,3.65,1,1
93,0,32.33,22.29,5.85,2.38,0,0
85,0,29.99,19.12,9.88,3.11,1,0
59,0,27.35,21.35,12.3,1.35,3,0
87,0,38.88,13.86,6.93,3.19,1,0
137,0,24.48,15.44,5.76,3.32,0,0
21,31,23.1,23.04,8.06,2.57,6,0
129,0,56.83,16.33,8.59,2.81,0,1
104,0,22.19,11.15,11.91,3.51,0,0
93,21,22.81,13.81,8.4,3.19,4,1
63,0,47.26,22.64,10.08,3.54,4,1
161,0,17.92,18.26,10.06,2.11,0,0
50,0,32.11,17.33,6.83,3.13,3,0
103,24,19.01,20.37,12.07,1.86,1,0
84,33,27.05,12.73,9.6,3.51,1,0
92,0,36.11,19.09,9.96,2.43,1,0
77,0,24.19,26.04,8.84,2.67,1,0
64,0,58.96,21.21,12.39,3.59,1,1
159,15,19.36,12.35,8.78,3.19,1,0
110,27,45.54,22.38,8.01,2.24,1,1
138,0,29.14,9.79,10.1,4.59,3,0
178,0,46.82,15.94,6.62,3.67,1,0
38,31,33.52,21.24,13.45,1.05,0,0
50,35,32.74,11.49,9.73,2.13,2,0
45,26,15.59,12.8,2.85,2.08,1,0
70,0,21.47,12.04,11.52,2.59,0,0
147,33,42.76,19.9,9.6,2.81,3,0
94,0,32.4,12.95,6.51,2.03,1,0
179,0,19.74,17.15,8.19,3.13,0,0
116,0,36.94,18.37,6.66,3.05,2,0
59,0,30.5,19.76,7.91,3.97,0,0
165,0,35.31,14.01,2.45,2.13,0,0
133,0,47.14,19.41,5.28,3.46,2,1
140,0,21.3,14.25,11.73,2.27,1,0
93,32,23.48,14.22,10.75,1.84,2,0
52,38,28.78,19.2,7.74,2.21,0,0
64,27,34.22,12.22,6.76,3.32,1,0
12,0,36.84,9.9,9.9,2.65,2,0
48,0,32.37,26.99,6,2.24,2,0
181,0,24.36,16.62,10.05,1.62,1,0
168,42,16.56,17.31,7.83,3.08,2,0
155,0,30.84,14.25,7.58,3.05,3,0
105,0,41.89,21.78,7.61,1.03,0,0
11,0,24.38,24.6,8.73,2.62,2,0
182,0,17.83,16.87,11.62,2.16,2,0
104,0,26.55,16.41,10.02,3.54,1,0
102,0,19.52,6.96,13.69,3.24,0,0
122,0,39.53,17.47,9.62,3.21,0,0
41,0,24.41,12.95,8.75,2.32,1,0
132,0,30.04,20.75,7.93,2.46,2,0
76,0,44.78,19.58,7.68,3.08,1,1
13,0,24.89,12.62,9.75,3.05,1,0
115,33,24.65,16.53,10.9,3.83,2,0
67,0,28.53,14.25,4.96,2.27,1,0
154,0,28.37,13.17,8.52,1.94,0,0
100,0,24.23,16.63,5.49,2.11,2,0
146,0,22.61,22.34,9.64,3.02,1,0
148,11,42.99,24.17,11.83,3.32,1,0
67,28,16.15,24.75,7.18,2.7,2,0
161,0,33.01,21.2,11.47,3.48,1,1
70,0,37.88,18.35,10.06,0,1,0
116,0,34.31,19.68,10.17,4.46,0,0
99,42,36.72,19.75,9.7,2.51,2,1
87,0,24.87,14.6,7.54,1.43,1,0
87,0,39.92,11.98,9.19,2.57,1,0
70,0,33.76,18.18,7.7,2.86,2,0
131,0,16.05,18.28,8.09,3.54,2,0
119,0,32.37,18.33,7.25,2.7,2,0
119,32,24.24,17.7,7.69,3.24,3,0
87,0,22.81,14.03,7.79,2.89,0,0
112,0,19.02,9.69,6.61,3.81,5,1
75,0,20.88,17.96,11.76,2.89,2,0
150,0,32.18,18.78,10.74,2.48,4,0
161,38,40.87,17.15,9.27,4.35,0,0
91,24,15.9,15.59,10.83,2.67,0,0
124,0,26.96,17.95,8.07,2.75,3,0
94,0,41.34,12.5,4.27,1.94,4,0
217,0,29.99,13.5,13.8,2.51,4,0
158,0,37.55,20.59,10.5,1.73,0,0
102,0,24.55,22.65,9.79,1.92,0,0
85,0,36.09,19.41,7.35,2.08,0,0
79,0,24.99,14.08,10.94,2.27,1,0
139,25,16.35,15.21,8.19,3.48,2,0
103,0,44.78,15.22,9.66,2.78,0,0
98,0,2.13,21.81,7.62,2.08,1,0
78,0,27.59,16.35,10.83,2.73,2,0
50,0,31.21,4.98,9.12,2.35,1,0
161,0,30.28,12.45,6.19,2.3,1,0
67,0,34.24,8.3,9.11,1.89,0,0
86,38,20.91,11.38,6.22,3.59,1,0
92,0,35.36,16.91,3.44,2.32,0,0
174,0,40.66,16.02,4.75,2.38,1,0
124,0,32.81,7.63,7.78,4.13,1,0
132,31,29.67,20.88,7.78,2.78,1,0
190,26,19.84,12.4,7.88,2.67,1,0
101,0,15.95,12.75,10.85,2.89,1,0
185,30,26.2,10.09,11.63,3.48,2,0
68,29,40.72,17.32,7.55,2.67,0,0
117,25,36.72,19.05,12.06,3.19,0,0
118,0,31.86,15.11,10.5,3.29,1,0
124,0,28.46,19.82,4.93,2.78,0,0
22,0,27.27,18.54,8.68,3.38,1,0
75,0,24.34,17.77,7.79,3.21,1,0
134,0,34.9,20.44,8.06,1.35,1,0
164,25,37.25,12.88,2.25,3.86,1,0
44,0,24.34,14.43,9.71,2.05,1,0
177,0,39.58,14.89,9.55,3.38,2,0
110,0,27.54,21.04,7,2.4,0,0
53,27,4.4,17.55,10.26,1.76,1,0
108,0,26.21,9.55,11.09,4.16,4,1
80,0,54.79,18.87,7.33,1.81,0,1
158,0,35.68,18.81,9.45,2.21,1,0
114,0,32.56,14.89,9.91,0,0,0
64,19,49.49,19.27,9.86,2.03,1,0
88,0,36.65,18.38,7.71,3.19,3,0
82,0,35.5,18.16,7.88,3.35,3,0
111,0,43.5,17.35,7.71,3.32,3,0
60,0,42.96,18.79,4.95,3.35,2,0
113,0,22.46,21.04,11.08,1.86,3,0
109,0,36.89,17.6,12.06,2.21,1,0
105,42,17.32,18.96,10.87,3.48,0,0
85,0,35.96,15.69,7.39,3.59,2,0
131,0,26.08,16.87,7.4,2.81,0,0
59,0,28.27,20.34,5.54,2.7,2,0
148,0,31.48,14.48,7.43,2.57,1,0
210,0,17.78,12.71,11.48,1.76,2,0
115,0,41.68,13.52,10.35,1.94,0,0
106,0,46.65,16.88,7.24,1.62,1,0
93,0,16.73,21.22,11.17,3.83,1,0
57,29,47.58,18.96,11.33,3.51,1,0
98,0,31.82,16.63,8.18,1.38,1,0
157,0,46.95,14.09,6.82,0.59,3,0
116,35,34.07,23.19,9.65,2.24,1,0
30,0,27.59,20.74,8.1,2.46,2,0
111,0,30.07,8.74,9.62,2.84,4,1
52,0,28.14,17.47,9.61,3.29,0,0
72,0,37.03,16.12,8.22,2.81,4,0
135,28,34.24,20.95,6.97,3.48,2,1
86,0,32.39,15.27,11.63,2.73,3,0
98,29,30.58,16.08,7.39,3.46,3,0
151,0,40.1,6.85,9.58,1.57,3,0
118,0,23.87,15.9,9.36,2.13,0,0
117,0,24.58,22,11.39,2,2,0
55,0,32.13,10.07,11.16,4.62,0,0
82,0,17.17,13.23,13.7,3.59,0,0
152,0,35.07,24.89,1.97,2.86,1,0
108,15,28.07,22.7,11.28,2.94,1,0
98,0,28.05,17.22,7.75,3.38,1,1
130,0,26.5,21.77,11.83,3.16,3,0
136,0,33.86,18.25,6.79,3.19,1,0
47,0,26.4,16,11.12,3.32,3,0
189,0,35.41,20.12,8.06,3.05,3,0
107,0,26.71,13.82,6.75,3.27,1,0
91,0,26.25,14.31,10.8,3.16,5,1
159,0,32.15,20.92,10.89,2.81,1,1
11,24,22.36,19.57,12.77,2.7,2,0
167,0,28.29,20.67,10.31,2.67,1,0
111,0,24.19,10.44,10.33,3.46,2,0
99,19,14.91,18.96,8.2,1.97,2,0
159,19,31.3,16.53,10.15,4.56,0,0
114,31,29.67,19.06,5.23,3.32,2,0
71,0,17.56,11.77,7.42,2.43,2,0
122,0,5.97,15.37,11.32,3.43,1,0
100,25,41.92,12.02,8.54,3.51,1,0
83,37,13.35,17.89,8.09,3.19,1,0
64,0,25.18,14.02,9.72,3.32,5,1
105,0,35.05,21.79,5.27,2.43,1,0
144,33,42.77,16.8,9.41,3.29,2,0
106,26,45.95,18.29,11.43,3.89,1,1
19,34,26.62,19.06,11.74,3.05,1,0
46,0,23.7,19.01,7.79,3.67,1,0
127,0,37.43,16.01,7.77,3.16,2,0
9,39,36.4,14.38,8.54,2.73,1,0
157,0,33.32,18.14,8.86,2.13,1,0
105,0,18.09,20.41,6.65,1.43,6,1
105,29,30.5,23.41,11.07,2.7,0,0
155,0,36.84,12.27,6.09,2.92,2,0
31,0,30.14,12.99,7.33,1.38,0,0
161,0,25.77,18.65,10.11,1.08,1,0
95,32,44.57,14.04,8.74,2.86,0,0
122,0,29.51,7.79,9.53,2.62,3,0
37,0,18.12,12.53,10.61,2.59,2,0
132,0,32.86,10.91,7.29,3.13,5,1
119,24,36.92,11.79,6.27,3.05,0,0
16,0,35.62,14.69,4.23,2.38,1,0
99,0,16.22,17.61,6.12,1.51,1,0
76,26,36.48,17.44,6.06,2.19,1,0
167,0,22.37,17.96,7.57,3,4,1
129,0,28.63,18.45,3.67,3.19,1,0
116,0,24.89,15.01,9.57,2.11,1,0
60,0,31.11,17.57,9.17,3,1,0
128,0,17.56,20.9,7.25,1.73,0,0
47,28,19.07,13.16,7.5,2.86,0,0
40,0,29.02,15.22,12.69,2.21,3,0
173,0,29.33,12.12,4.59,2.94,0,0
157,30,33.03,20.67,14.5,1.92,1,0
66,32,31.93,11.03,5.95,3.24,2,0
